product_id,reference,nombre,slug,canonical_url
604,D29,Mochila Morral,mochila-morral-bicolor-cordon-tnt-polipropileno,https://regalospremium.cl/mochilas/mochila-morral-bicolor-cordon-tnt-polipropileno.html
728,G23,Gorro LED «CHILOÉ»,gorro-led-chiloe-recargable-usb,https://regalospremium.cl/comprar-gorros-y-jockeys-publicitarios/gorro-led-chiloe-recargable-usb.html
896,T130,Llavero Metálico con Abrebotellas,llavero-destapador-metalico-publicitario,https://regalospremium.cl/llaveros-metalicos/llavero-destapador-metalico-publicitario.html
918,BP301-TA,Bolígrafo «COPPERFIELD I»,boligrafo-copperfield-soft-touch-cobre,https://regalospremium.cl/boligrafos-metalicos-y-ejecutivos-publicitarios/boligrafo-copperfield-soft-touch-cobre.html
1063,X4,Tazón Cervecero de Vidrio para Sublimación,tazon-cervecero-de-vidrio-para-sublimacion,https://regalospremium.cl/mugs-ceramica-plastico-publicitarios/tazon-cervecero-de-vidrio-para-sublimacion.html
1071,M46,Tazón Enlozado Negro,tazon-enlozado-negro-m46,https://regalospremium.cl/tazon-enlozado-negro-m46.html
1174,T632,Botella Térmica Montana,botella-termica-montana-t632,https://regalospremium.cl/botella-termica-montana-t632.html
1210,B19,"Necessaire de Viaje \""RUTA\""",necessaire-viaje-ruta,https://regalospremium.cl/coolers-publicitarios/necessaire-viaje-ruta.html
1277,C571,"Mochila \""GAMA\""",mochila-urbana-bitono-poliester-corporativa,https://regalospremium.cl/mochilas/mochila-urbana-bitono-poliester-corporativa.html
1292,C585,"Bolsa de algodón \""COTI FORT\""",bolsa-de-algodon-reutilizable-fuelle-personalizada,https://regalospremium.cl/bolsas-de-algodon-publicitarias/bolsa-de-algodon-reutilizable-fuelle-personalizada.html
1362,B47,Set de Escritura de Bamboo,set-de-escritura-de-bamboo,https://regalospremium.cl/regalos-corporativos-bambu/set-de-escritura-de-bamboo.html
1382,M89,"Set termico  Cobre \""Radomiro\""",set-termico-cobre-radomiro,https://regalospremium.cl/botellas-metalicas-publicitarias/set-termico-cobre-radomiro.html
1398,EC786,Power Bank BATEL,power-bank-corporativo-aluminio-reciclado-batel,https://regalospremium.cl/power-bank-y-accesorios/power-bank-corporativo-aluminio-reciclado-batel.html
1407,T809,"Botella térmica \""ULTRA\""",botella-termica-acero-inoxidable-500ml-corporativa,https://regalospremium.cl/botellas-metalicas-publicitarias/botella-termica-acero-inoxidable-500ml-corporativa.html
1432,T739,"Taza con Cierre \""MIKA\""",mugs-botellas-termos-taza-con-cierre-mika,https://regalospremium.cl/mugs-botellas-termos-taza-con-cierre-mika.html
