historical_url,normalized_url,status,keyword_keys
https://regalospremium.cl/bolsas-de-algodon/,https://regalospremium.cl/bolsas-de-algodon/,CURRENT_FORMAT,24
https://regalospremium.cl/regalos-ecologicos-premium/,https://regalospremium.cl/regalos-ecologicos-premium/,CURRENT_FORMAT,19
https://regalospremium.cl/verano/?page=2,https://regalospremium.cl/verano/?page=2,CURRENT_FORMAT,16
https://regalospremium.cl/lapices-ecologicos/,https://regalospremium.cl/lapices-ecologicos/,CURRENT_FORMAT,15
https://regalospremium.cl/accesorios-para-automovil/parasol-para-vehiculo.html,https://regalospremium.cl/accesorios-para-automovil/parasol-para-vehiculo.html,CURRENT_FORMAT,12
https://regalospremium.cl/tecnologicos/,https://regalospremium.cl/tecnologicos/,CURRENT_FORMAT,10
https://regalospremium.cl/bolsas-de-yute-publicitarias/,https://regalospremium.cl/bolsas-de-yute-publicitarias/,CURRENT_FORMAT,10
http://regalospremium.cl/index.php?keyword=llaveros&limitstart=0&option=com_virtuemart&view=category,https://regalospremium.cl/index.php?keyword=llaveros&limitstart=0&option=com_virtuemart&view=category,LEGACY_VIRTUEMART,7
https://regalospremium.cl/bamboo/,https://regalospremium.cl/bamboo/,CURRENT_FORMAT,6
https://regalospremium.cl/bolsas-de-tnt-publicitarias/,https://regalospremium.cl/bolsas-de-tnt-publicitarias/,CURRENT_FORMAT,6
https://regalospremium.cl/regalos-publicitarios-ocio-y-pasatiempo/,https://regalospremium.cl/regalos-publicitarios-ocio-y-pasatiempo/,CURRENT_FORMAT,6
http://regalospremium.cl/index.php?option=com_virtuemart&view=category&virtuemart_category_id=27,https://regalospremium.cl/index.php?option=com_virtuemart&view=category&virtuemart_category_id=27,LEGACY_VIRTUEMART,5
https://regalospremium.cl/busqueda?controller=search&s=adaptador+usb,https://regalospremium.cl/busqueda?controller=search&s=adaptador+usb,INTERNAL_SEARCH,3
https://regalospremium.cl/regalos-publicitarios-para-automovil/parasol-para-vehiculo.html,https://regalospremium.cl/regalos-publicitarios-para-automovil/parasol-para-vehiculo.html,CURRENT_FORMAT,3
https://regalospremium.cl/boligrafos-metalicos-y-ejecutivos/,https://regalospremium.cl/boligrafos-metalicos-y-ejecutivos/,CURRENT_FORMAT,2
https://regalospremium.cl/publicitarios-belleza-y-salud/,https://regalospremium.cl/publicitarios-belleza-y-salud/,CURRENT_FORMAT,2
https://www.regalospremium.cl,https://regalospremium.cl/,WWW_VARIANT,2
https://regalospremium.cl/bolsos-y-mochilas-publicitarios/,https://regalospremium.cl/bolsos-y-mochilas-publicitarios/,CURRENT_FORMAT,2
https://regalospremium.cl/cuadernos-libretas-memo-set/,https://regalospremium.cl/cuadernos-libretas-memo-set/,CURRENT_FORMAT,2
https://regalospremium.cl/memorias-usb/,https://regalospremium.cl/memorias-usb/,CURRENT_FORMAT,2
https://regalospremium.cl/publicitarios-bamboo/,https://regalospremium.cl/publicitarios-bamboo/,CURRENT_FORMAT,1
https://regalospremium.cl/bamboohttps://regalospremium.cl/publicitarios-bamboo/,https://regalospremium.cl/bamboohttps://regalospremium.cl/publicitarios-bamboo/,CURRENT_FORMAT,1
https://regalospremium.cl/√,,INVALID,1
https://regalospremium.cl/regalos-publicitarios-de-verano/frisbee-plastico.html,https://regalospremium.cl/regalos-publicitarios-de-verano/frisbee-plastico.html,CURRENT_FORMAT,1
https://regalospremium.cl/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=266&virtuemart_category_id=20,https://regalospremium.cl/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=266&virtuemart_category_id=20,LEGACY_VIRTUEMART,1
https://regalospremium.cl/busqueda?controller=search&s=mouse,https://regalospremium.cl/busqueda?controller=search&s=mouse,INTERNAL_SEARCH,1
https://regalospremium.cl,https://regalospremium.cl/,CURRENT_FORMAT,1
https://regalospremium.cl/bolsas-de-yute/,https://regalospremium.cl/bolsas-de-yute/,CURRENT_FORMAT,1
https://regalospremium.cl/bolsas-tnt/bolsa-reutilizable-conference.html,https://regalospremium.cl/bolsas-tnt/bolsa-reutilizable-conference.html,CURRENT_FORMAT,1
https://regalospremium.cl/bolsas-tnt/bolsa-basurin-para-vehiculo.html?mot_tcid=ba2fb161-0f90-4738-839a-95d72249b396,https://regalospremium.cl/bolsas-tnt/bolsa-basurin-para-vehiculo.html?mot_tcid=ba2fb161-0f90-4738-839a-95d72249b396,CURRENT_FORMAT,1
https://regalospremium.cl/bolsas-de-papel/,https://regalospremium.cl/bolsas-de-papel/,CURRENT_FORMAT,1
https://regalospremium.cl/memorias-√,,INVALID,1
https://regalospremium.cl/regalos-promocionales-tecnologicos/,https://regalospremium.cl/regalos-promocionales-tecnologicos/,CURRENT_FORMAT,1
